rep,A,rd,LL,dp,pval,psig
85,10,30,19.371748627321196,-0.6699999999999999,4.8331771917986543e-10,1
86,10,30,11.708918756422756,-0.6849999999999999,1.3036410556610534e-06,1
87,10,30,8.141439701787625,-0.6799999999999999,5.4554644138060659e-05,0
88,10,30,13.324350193056908,-0.765,2.4401486775627035e-07,1
89,10,30,11.424516547509874,-0.6699999999999999,1.752374631625031e-06,1
90,10,30,12.536986965068946,-0.735,5.5172510660117524e-07,1
91,10,30,11.060729432884138,-0.645,2.5593278514257634e-06,1
92,10,30,15.446987853253159,-0.6499999999999999,2.7251640055681037e-08,1
93,10,30,13.265872702459248,-0.6499999999999999,2.592428043346473e-07,1
94,10,30,10.663137645900209,-0.725,3.8738525992565442e-06,1
95,10,30,13.547569441266003,-0.6799999999999999,1.9368437054190224e-07,1
96,10,30,13.646760778800825,-0.675,1.7479607850034995e-07,1
97,10,30,14.157951566712125,-0.655,1.0304593212051572e-07,1
98,10,30,10.259596420228222,-0.66,5.9036315268601314e-06,0
99,10,30,15.61482075146444,-0.735,2.2923894338333639e-08,1
0,10,40,13.875034328178703,-0.72,1.3804330378786034e-07,1
1,10,40,23.24501140137072,-0.72,9.2086338554508984e-12,1
2,10,40,24.467047148354332,-0.7,2.6471047576137607e-12,1
3,10,40,20.133628489734004,-0.695,2.214901595465335e-10,1
4,10,40,15.035708093951694,-0.715,4.1642413628473207e-08,1
5,10,40,11.682138912334842,-0.71,1.3404483334422679e-06,1
6,10,40,16.3027359721976,-0.695,1.1289645329704001e-08,1
7,10,40,14.170524915122254,-0.69,1.0171599240660356e-07,1
8,10,40,33.43921971597106,-0.6849999999999999,3.3306690738754696e-16,1
9,10,40,12.455665839246809,-0.69,6.0028541959411541e-07,1
10,10,40,17.430977172853197,-0.69,3.5392975217263256e-09,1
11,10,40,22.08597812869402,-0.71,3.0075941737095491e-11,1
12,10,40,8.346571819702802,-0.61,4.3939515460111878e-05,0
13,10,40,18.15447681957322,-0.7,1.6838849203892892e-09,1
14,10,40,11.020188646214784,-0.6849999999999999,2.6697473698433782e-06,1
15,10,40,10.528161663333243,-0.6799999999999999,4.459786359545248e-06,1
